work_year,experience_level,salary_in_usd,remote_ratio,company_size,FL,FT,PT
2025,3,150000,0,2,0,1,0
2024,3,291900,0,2,0,1,0
2024,3,214200,100,2,0,1,0
2025,3,294000,0,2,0,1,0
2025,3,134000,100,2,0,1,0
2024,2,196900,0,2,0,1,0
2025,2,130000,0,2,0,1,0
2024,3,113000,0,3,0,1,0
2025,2,346000,0,2,0,1,0
2025,3,90000,100,2,0,1,0
2025,2,175800,0,2,0,1,0
2024,3,339250,0,2,0,1,0
2025,3,222000,100,2,0,1,0
2024,3,115000,0,2,0,1,0
2024,2,185000,0,3,0,1,0
2024,2,148200,0,2,0,1,0
2024,3,103000,0,2,0,1,0
2024,3,128000,100,2,0,1,0
2025,3,420000,0,2,0,1,0
2025,1,95000,0,2,0,1,0
2024,3,210000,0,2,0,1,0
2024,3,90000,0,2,0,1,0
2024,3,134800,0,2,0,1,0
2025,3,170000,100,2,0,1,0
2024,1,99500,0,3,0,1,0
2025,3,160000,100,2,0,1,0
2024,3,177000,0,2,0,1,0
2025,2,147100,0,2,0,1,0
2024,2,228000,0,2,0,1,0
2025,3,125000,100,2,0,1,0
2024,1,112000,0,2,0,1,0
2025,3,160759,0,2,0,1,0
2025,2,75000,100,2,0,1,0
2025,3,257970,0,2,0,1,0
2024,3,131500,0,2,0,1,0
2024,2,88888,0,2,0,1,0
2024,3,237500,0,2,0,1,0
2025,3,111260,100,2,0,1,0
2025,4,205000,0,2,0,1,0
2025,2,138715,0,2,0,1,0
2023,3,130000,0,2,0,1,0
2024,2,57020,0,2,0,1,0
2023,3,140100,0,2,0,1,0
2024,3,251000,100,2,0,1,0
2024,2,97100,0,2,0,1,0
2024,3,231110,0,2,0,1,0
2024,2,57700,0,2,0,1,0
2024,3,175000,0,2,0,1,0
2025,3,80000,0,2,0,1,0
2025,3,160000,0,2,0,1,0
2024,3,124200,0,2,0,1,0
2025,3,168800,0,2,0,1,0
2024,2,83028,0,2,0,1,0
2025,3,137439,0,2,0,1,0
2024,2,129800,0,2,0,1,0
2024,3,160000,100,2,0,1,0
2025,3,197000,0,2,0,1,0
2024,1,80000,100,2,0,1,0
2024,3,199700,100,2,0,1,0
2024,2,136000,0,3,0,1,0
2024,2,48000,0,2,0,1,0
2025,3,137000,100,2,0,1,0
2024,3,144000,0,2,0,1,0
2024,2,120200,0,2,0,1,0
2023,1,155000,0,2,0,1,0
2022,3,169000,0,2,0,1,0
2025,3,301200,0,2,0,1,0
2024,3,87360,0,2,0,1,0
2025,2,115290,0,2,0,1,0
2024,3,141300,100,2,0,1,0
2024,2,250000,0,2,0,1,0
2024,3,242000,0,2,0,1,0
2025,3,600243,0,2,0,1,0
2025,1,110000,0,2,0,1,0
2024,2,296300,0,2,0,1,0
2025,3,245960,100,2,0,1,0
2024,2,100000,0,2,0,1,0
2025,2,65000,0,2,0,1,0
2024,3,207000,100,2,0,1,0
2024,1,92000,0,2,0,1,0
2025,3,144505,0,2,0,1,0
2024,3,130100,0,2,0,1,0
2024,3,247200,0,2,0,1,0
2023,3,182850,100,2,0,1,0
2024,2,159000,0,2,0,1,0
2024,2,160000,100,2,0,1,0
2025,2,85400,0,2,0,1,0
