work_year,experience_level,salary_in_usd,remote_ratio,company_size,FL,FT,PT
2024,2,216000,0,2,0,1,0
2024,3,151300,0,3,0,1,0
2024,3,101080,0,2,0,1,0
2024,3,185000,0,3,0,1,0
2024,2,81500,0,2,0,1,0
2025,3,291000,100,2,0,1,0
2024,2,62100,0,2,0,1,0
2023,2,96000,100,2,0,1,0
2025,3,297000,0,2,0,1,0
2025,2,168790,0,2,0,1,0
2024,3,110000,100,2,0,1,0
2024,3,128000,0,2,0,1,0
2023,3,125000,0,2,0,1,0
2024,3,180000,100,2,0,1,0
2025,2,80000,0,2,0,1,0
2025,3,194740,100,2,0,1,0
2024,3,215000,0,2,0,1,0
2025,3,125760,0,2,0,1,0
2024,3,74880,0,2,0,1,0
2024,4,145440,0,2,0,1,0
2024,1,221000,0,2,0,1,0
2025,3,75000,0,2,0,1,0
2025,3,168000,0,2,0,1,0
2024,3,399000,0,2,0,1,0
2025,2,112000,0,2,0,1,0
2025,2,130000,100,2,0,1,0
2024,3,136000,0,3,0,1,0
2025,3,144200,0,2,0,1,0
2025,1,162000,0,2,0,1,0
2024,3,200000,0,2,0,1,0
2024,1,168150,0,2,0,1,0
2025,2,149000,100,2,0,1,0
2025,3,182000,0,2,0,1,0
2024,2,47500,100,2,0,1,0
2025,3,340000,0,2,0,1,0
2024,2,108000,0,2,0,1,0
2023,4,180000,0,2,0,1,0
2024,1,52000,0,2,0,1,0
2024,2,250000,0,2,0,1,0
2024,1,27885,0,2,0,1,0
2025,3,80635,0,2,0,1,0
2024,2,85000,0,2,0,1,0
2025,3,144430,0,2,0,1,0
2024,3,177341,0,2,0,1,0
2025,3,137000,100,2,0,1,0
2024,3,114750,0,2,0,1,0
2025,3,150000,100,2,0,1,0
2024,1,68145,0,2,0,1,0
2024,2,100000,0,2,0,1,0
2025,3,240000,0,2,0,1,0
2025,2,66800,100,2,0,1,0
2024,2,62500,0,2,0,1,0
2025,2,156000,0,2,0,1,0
2025,1,80000,0,2,0,1,0
2025,1,36000,0,2,0,1,0
2025,2,69938,100,2,0,1,0
2024,2,109300,0,2,0,1,0
2025,3,294000,0,2,0,1,0
2022,3,52500,0,2,0,1,0
2025,2,154960,0,2,0,1,0
2025,1,43919,0,2,0,0,1
2024,3,149165,0,2,0,1,0
2025,3,100000,0,2,0,1,0
2025,3,356500,0,2,0,1,0
2025,2,179000,0,2,0,1,0
2025,1,100000,0,2,0,1,0
2025,3,160000,0,2,0,1,0
2025,2,160000,0,2,0,1,0
2025,3,181000,0,2,0,1,0
2025,3,164000,100,2,0,1,0
2025,2,208800,0,2,0,1,0
2024,3,123300,0,2,0,1,0
2024,3,247200,0,2,0,1,0
2025,2,340100,0,2,0,1,0
2024,3,236220,0,2,0,1,0
2024,2,143100,0,2,0,1,0
2025,1,100300,0,2,0,1,0
2025,1,82278,0,2,0,0,0
2025,2,96300,0,2,0,1,0
2024,3,165100,0,2,0,1,0
2024,3,220000,0,2,0,1,0
2025,3,40900,100,2,0,1,0
2025,3,124400,0,2,0,1,0
2025,2,138000,100,2,0,0,0
2025,2,155250,0,2,0,1,0
2025,3,275000,0,2,0,1,0
2024,2,70000,0,2,0,1,0
2025,2,42000,0,2,0,1,0
2024,3,105000,0,2,0,1,0
2025,2,36000,0,2,0,0,1
2025,3,200000,100,2,0,1,0
2025,3,110000,100,2,0,1,0
2024,2,170000,0,2,0,1,0
2023,3,125000,0,2,0,1,0
2025,3,161300,0,2,0,1,0
2024,3,294000,0,2,0,1,0
2024,1,59400,0,2,0,1,0
2024,2,102900,0,2,0,1,0
2025,3,110565,0,2,0,1,0
2024,2,720000,0,2,0,1,0
2025,3,195400,0,2,0,0,0
2023,3,86250,0,2,0,1,0
2024,3,246400,0,2,0,1,0
2025,3,66380,100,2,0,1,0
2024,3,160000,100,2,0,1,0
2024,3,160000,0,2,0,1,0
2024,3,129000,0,2,0,1,0
2024,2,73700,0,2,0,1,0
2024,3,158076,100,2,0,1,0
2024,2,96000,0,2,0,1,0
2025,3,196000,0,2,0,1,0
2024,3,155000,0,2,0,1,0
2024,2,100000,100,2,0,1,0
2024,1,172000,0,2,0,1,0
2025,2,200000,0,2,0,1,0
2025,2,220000,0,2,0,1,0
2025,2,205600,0,3,0,1,0
2025,3,117200,0,2,0,1,0
2024,2,89600,0,3,0,1,0
2024,2,100000,100,2,0,1,0
2024,3,251500,0,2,0,1,0
2025,2,138000,0,2,0,1,0
2024,3,225000,100,2,0,1,0
2025,3,110435,0,2,0,1,0
2024,2,141340,0,2,0,1,0
2024,3,234000,0,2,0,1,0
2024,3,136800,0,2,0,1,0
2024,2,160800,0,2,0,1,0
2025,3,120460,0,2,0,1,0
2024,3,124402,0,2,0,1,0
2023,4,210914,100,2,0,1,0
2024,1,28750,0,2,0,1,0
2024,1,100000,0,2,0,1,0
2024,2,205200,100,2,0,1,0
2024,1,75600,0,2,0,1,0
2025,2,80000,100,2,0,1,0
2024,2,106250,0,2,0,1,0
2024,4,115000,0,2,0,1,0
2025,3,147000,0,2,0,1,0
2025,2,350000,0,2,0,1,0
2024,3,159600,0,2,0,1,0
2023,3,240000,100,2,0,1,0
2024,1,116000,0,2,0,1,0
2025,1,77600,0,2,0,1,0
2025,3,257000,0,2,0,1,0
2024,3,346000,0,2,0,1,0
2024,4,186250,0,2,0,1,0
2024,3,164000,0,2,0,1,0
2025,3,129400,0,2,0,1,0
2025,1,98300,0,2,0,1,0
2024,3,140000,0,2,0,1,0
2025,3,168000,0,2,0,1,0
2024,3,75000,0,2,0,1,0
2024,3,250000,100,2,0,1,0
2025,2,115143,0,2,0,1,0
2025,2,87200,100,2,0,1,0
2025,3,250000,0,2,0,1,0
2024,2,209657,0,2,0,1,0
2024,3,359170,0,2,0,1,0
2025,4,215600,100,2,0,1,0
2024,2,180400,0,2,0,1,0
2025,3,138000,0,2,0,1,0
2025,2,156000,0,2,0,1,0
2025,3,175000,0,2,0,1,0
2025,3,378700,0,2,0,1,0
2024,3,145200,0,2,0,1,0
2024,3,80000,100,2,0,1,0
2025,3,189000,0,2,0,1,0
2025,3,168000,0,2,0,1,0
2025,3,200000,0,2,0,1,0
2024,2,200875,0,2,0,1,0
2025,2,111662,0,2,0,1,0
2025,3,245000,100,2,0,1,0
2025,3,133600,0,2,0,1,0
2024,2,222200,0,3,0,1,0
2025,2,104800,0,2,0,1,0
2025,3,241000,100,2,0,1,0
2024,3,211500,100,2,0,1,0
2024,3,89700,0,2,0,1,0
2024,2,83600,0,2,0,1,0
2024,3,180200,100,2,0,1,0
2024,3,166842,0,2,0,1,0
2024,2,80000,0,2,0,1,0
2025,3,222000,100,2,0,1,0
2023,3,150000,0,2,0,1,0
2024,2,145000,0,2,0,1,0
2025,3,110700,0,2,0,1,0
2025,1,80000,100,2,0,0,1
2025,3,103000,0,2,0,1,0
2024,3,143200,0,2,0,1,0
2025,3,112000,0,2,0,1,0
2025,2,161866,0,2,0,1,0
2025,3,303000,0,2,0,1,0
2025,3,190000,100,2,0,1,0
2025,3,202000,0,2,0,1,0
2024,1,62400,0,2,0,1,0
2024,3,206000,0,2,0,1,0
2025,3,170000,0,2,0,1,0
2025,3,46739,0,2,0,1,0
2024,2,141340,0,2,0,1,0
